"Alue,""Sukupuoli"",""Koulutusaste"",""15 vuotta tayttaneet yhteensa 2021"",""15-24-vuotiaat 2021"",""25-44-vuotiaat 2021"",""45-64-vuotiaat 2021"",""Yli 65-vuotiaat 2021"""
"091 10 Kruununhaka,""Naiset"",""Perusaste tai tuntematon"",438,171,106,44,117"
"091 20 Kluuvi,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",615,62,262,174,117"
"091 20 Kluuvi,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",532,47,227,153,105"
"091 20 Kluuvi,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",169,44,70,36,19"
"091 20 Kluuvi,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",128,3,57,35,33"
"091 20 Kluuvi,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",235,0,100,82,53"
"091 20 Kluuvi,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",83,15,35,21,12"
"091 20 Kluuvi,""Miehet"",""Kaikki koulutusasteet"",325,30,135,103,57"
"091 20 Kluuvi,""Miehet"",""Tutkinnon suorittaneita yhteensa"",278,23,118,88,49"
"091 20 Kluuvi,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",95,22,44,23,6"
"091 20 Kluuvi,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",57,1,26,17,13"
"091 20 Kluuvi,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",126,0,48,48,30"
"091 20 Kluuvi,""Miehet"",""Perusaste tai tuntematon"",47,7,17,15,8"
"091 20 Kluuvi,""Naiset"",""Kaikki koulutusasteet"",290,32,127,71,60"
"091 20 Kluuvi,""Naiset"",""Tutkinnon suorittaneita yhteensa"",254,24,109,65,56"
"091 20 Kluuvi,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",74,22,26,13,13"
"091 20 Kluuvi,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",71,2,31,18,20"
"091 20 Kluuvi,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",109,0,52,34,23"
"091 20 Kluuvi,""Naiset"",""Perusaste tai tuntematon"",36,8,18,6,4"
"091 80 Katajanokka,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",4292,485,1391,1212,1204"
"091 80 Katajanokka,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",3580,263,1215,1094,1008"
"091 80 Katajanokka,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1100,226,354,290,230"
"091 80 Katajanokka,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1030,35,363,273,359"
"091 80 Katajanokka,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1450,2,498,531,419"
"091 80 Katajanokka,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",712,222,176,118,196"
"091 80 Katajanokka,""Miehet"",""Kaikki koulutusasteet"",1986,232,690,578,486"
"091 80 Katajanokka,""Miehet"",""Tutkinnon suorittaneita yhteensa"",1630,118,584,506,422"
"091 80 Katajanokka,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",546,100,210,151,85"
"091 80 Katajanokka,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",381,17,158,102,104"
"091 80 Katajanokka,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",703,1,216,253,233"
"091 80 Katajanokka,""Miehet"",""Perusaste tai tuntematon"",356,114,106,72,64"
"091 80 Katajanokka,""Naiset"",""Kaikki koulutusasteet"",2306,253,701,634,718"
"091 80 Katajanokka,""Naiset"",""Tutkinnon suorittaneita yhteensa"",1950,145,631,588,586"
"091 80 Katajanokka,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",554,126,144,139,145"
"091 80 Katajanokka,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",649,18,205,171,255"
"091 80 Katajanokka,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",747,1,282,278,186"
"091 80 Katajanokka,""Naiset"",""Perusaste tai tuntematon"",356,108,70,46,132"
"091 102 Ullanlinnan peruspiiri,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",21771,2801,8794,5922,4254"
"091 102 Ullanlinnan peruspiiri,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",18803,1913,7916,5345,3629"
"091 102 Ullanlinnan peruspiiri,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",6075,1580,2392,1337,766"
"091 102 Ullanlinnan peruspiiri,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",5080,315,2112,1360,1293"
"091 102 Ullanlinnan peruspiiri,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",7648,18,3412,2648,1570"
"091 102 Ullanlinnan peruspiiri,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",2968,888,878,577,625"
"091 102 Ullanlinnan peruspiiri,""Miehet"",""Kaikki koulutusasteet"",9951,1157,4148,2876,1770"
"091 102 Ullanlinnan peruspiiri,""Miehet"",""Tutkinnon suorittaneita yhteensa"",8420,721,3617,2527,1555"
"091 102 Ullanlinnan peruspiiri,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2903,615,1270,734,284"
"091 102 Ullanlinnan peruspiiri,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2024,100,893,562,469"
"091 102 Ullanlinnan peruspiiri,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",3493,6,1454,1231,802"
"091 102 Ullanlinnan peruspiiri,""Miehet"",""Perusaste tai tuntematon"",1531,436,531,349,215"
"091 102 Ullanlinnan peruspiiri,""Naiset"",""Kaikki koulutusasteet"",11820,1644,4646,3046,2484"
"091 102 Ullanlinnan peruspiiri,""Naiset"",""Tutkinnon suorittaneita yhteensa"",10383,1192,4299,2818,2074"
"091 102 Ullanlinnan peruspiiri,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",3172,965,1122,603,482"
"091 102 Ullanlinnan peruspiiri,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",3056,215,1219,798,824"
"091 102 Ullanlinnan peruspiiri,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",4155,12,1958,1417,768"
"091 102 Ullanlinnan peruspiiri,""Naiset"",""Perusaste tai tuntematon"",1437,452,347,228,410"
"091 30 Kaartinkaupunki,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",939,128,315,297,199"
"091 30 Kaartinkaupunki,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",823,103,281,272,167"
"091 30 Kaartinkaupunki,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",264,90,86,65,23"
"091 30 Kaartinkaupunki,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",205,12,71,64,58"
"091 30 Kaartinkaupunki,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",354,1,124,143,86"
"091 30 Kaartinkaupunki,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",116,25,34,25,32"
"091 30 Kaartinkaupunki,""Miehet"",""Kaikki koulutusasteet"",457,53,156,155,93"
"091 30 Kaartinkaupunki,""Miehet"",""Tutkinnon suorittaneita yhteensa"",397,41,136,138,82"
"091 30 Kaartinkaupunki,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",124,36,44,36,8"
"091 30 Kaartinkaupunki,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",87,5,32,28,22"
"091 30 Kaartinkaupunki,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",186,0,60,74,52"
"091 30 Kaartinkaupunki,""Miehet"",""Perusaste tai tuntematon"",60,12,20,17,11"
"091 30 Kaartinkaupunki,""Naiset"",""Kaikki koulutusasteet"",482,75,159,142,106"
"091 30 Kaartinkaupunki,""Naiset"",""Tutkinnon suorittaneita yhteensa"",426,62,145,134,85"
"091 30 Kaartinkaupunki,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",140,54,42,29,15"
"091 30 Kaartinkaupunki,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",118,7,39,36,36"
"091 30 Kaartinkaupunki,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",168,1,64,69,34"
"091 30 Kaartinkaupunki,""Naiset"",""Perusaste tai tuntematon"",56,13,14,8,21"
"091 50 Punavuori,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",8369,1143,3826,1962,1438"
"091 50 Punavuori,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",7211,827,3430,1745,1209"
"091 50 Punavuori,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2495,664,1063,488,280"
"091 50 Punavuori,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1977,151,921,470,435"
"091 50 Punavuori,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",2739,12,1446,787,494"
"091 50 Punavuori,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1158,316,396,217,229"
"091 50 Punavuori,""Miehet"",""Kaikki koulutusasteet"",3849,448,1822,987,592"
"091 50 Punavuori,""Miehet"",""Tutkinnon suorittaneita yhteensa"",3234,295,1576,852,511"
"091 50 Punavuori,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1223,245,563,297,118"
"091 50 Punavuori,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",810,47,404,203,156"
"091 50 Punavuori,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1201,3,609,352,237"
"091 50 Punavuori,""Miehet"",""Perusaste tai tuntematon"",615,153,246,135,81"
"091 50 Punavuori,""Naiset"",""Kaikki koulutusasteet"",4520,695,2004,975,846"
"091 50 Punavuori,""Naiset"",""Tutkinnon suorittaneita yhteensa"",3977,532,1854,893,698"
"091 50 Punavuori,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1272,419,500,191,162"
"091 50 Punavuori,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1167,104,517,267,279"
"091 50 Punavuori,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1538,9,837,435,257"
"091 50 Punavuori,""Naiset"",""Perusaste tai tuntematon"",543,163,150,82,148"
"091 60 Eira,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",905,85,296,327,197"
"091 60 Eira,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",775,33,264,300,178"
"091 60 Eira,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",199,29,66,72,32"
"091 60 Eira,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",181,4,59,59,59"
"091 60 Eira,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",395,0,139,169,87"
"091 60 Eira,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",130,52,32,27,19"
"091 60 Eira,""Miehet"",""Kaikki koulutusasteet"",427,43,140,158,86"
"091 60 Eira,""Miehet"",""Tutkinnon suorittaneita yhteensa"",371,17,125,145,84"
"091 60 Eira,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",106,13,46,35,12"
"091 60 Eira,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",81,4,22,24,31"
"091 60 Eira,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",184,0,57,86,41"
"091 60 Eira,""Miehet"",""Perusaste tai tuntematon"",56,26,15,13,2"
"091 60 Eira,""Naiset"",""Kaikki koulutusasteet"",478,42,156,169,111"
"091 60 Eira,""Naiset"",""Tutkinnon suorittaneita yhteensa"",404,16,139,155,94"
"091 60 Eira,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",93,16,20,37,20"
"091 60 Eira,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",100,0,37,35,28"
"091 60 Eira,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",211,0,82,83,46"
"091 60 Eira,""Naiset"",""Perusaste tai tuntematon"",74,26,17,14,17"
"091 70 Ullanlinna,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",9556,1224,3665,2672,1995"
"091 70 Ullanlinna,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",8322,831,3329,2442,1720"
"091 70 Ullanlinna,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",2587,688,972,575,352"
"091 70 Ullanlinna,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",2227,138,905,590,594"
"091 70 Ullanlinna,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",3508,5,1452,1277,774"
"091 70 Ullanlinna,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",1234,393,336,230,275"
"091 70 Ullanlinna,""Miehet"",""Kaikki koulutusasteet"",4252,504,1702,1252,794"
"091 70 Ullanlinna,""Miehet"",""Tutkinnon suorittaneita yhteensa"",3630,311,1499,1123,697"
"091 70 Ullanlinna,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1181,266,502,304,109"
"091 70 Ullanlinna,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",844,42,372,235,195"
"091 70 Ullanlinna,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1605,3,625,584,393"
"091 70 Ullanlinna,""Miehet"",""Perusaste tai tuntematon"",622,193,203,129,97"
"091 70 Ullanlinna,""Naiset"",""Kaikki koulutusasteet"",5304,720,1963,1420,1201"
"091 70 Ullanlinna,""Naiset"",""Tutkinnon suorittaneita yhteensa"",4692,520,1830,1319,1023"
"091 70 Ullanlinna,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",1406,422,470,271,243"
"091 70 Ullanlinna,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",1383,96,533,355,399"
"091 70 Ullanlinna,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",1903,2,827,693,381"
"091 70 Ullanlinna,""Naiset"",""Perusaste tai tuntematon"",612,200,133,101,178"
"091 90 Kaivopuisto,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",412,47,87,138,140"
"091 90 Kaivopuisto,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",347,21,71,127,128"
"091 90 Kaivopuisto,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",79,19,22,21,17"
"091 90 Kaivopuisto,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",109,2,13,35,59"
"091 90 Kaivopuisto,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",159,0,36,71,52"
"091 90 Kaivopuisto,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",65,26,16,11,12"
"091 90 Kaivopuisto,""Miehet"",""Kaikki koulutusasteet"",200,24,39,63,74"
"091 90 Kaivopuisto,""Miehet"",""Tutkinnon suorittaneita yhteensa"",166,10,32,56,68"
"091 90 Kaivopuisto,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",37,10,11,10,6"
"091 90 Kaivopuisto,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",42,0,6,11,25"
"091 90 Kaivopuisto,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",87,0,15,35,37"
"091 90 Kaivopuisto,""Miehet"",""Perusaste tai tuntematon"",34,14,7,7,6"
"091 90 Kaivopuisto,""Naiset"",""Kaikki koulutusasteet"",212,23,48,75,66"
"091 90 Kaivopuisto,""Naiset"",""Tutkinnon suorittaneita yhteensa"",181,11,39,71,60"
"091 90 Kaivopuisto,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",42,9,11,11,11"
"091 90 Kaivopuisto,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",67,2,7,24,34"
"091 90 Kaivopuisto,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",72,0,21,36,15"
"091 90 Kaivopuisto,""Naiset"",""Perusaste tai tuntematon"",31,12,9,4,6"
"091 204 Hernesaari,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",1076,118,433,323,202"
"091 204 Hernesaari,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",908,84,376,277,171"
"091 204 Hernesaari,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",298,77,131,58,32"
"091 204 Hernesaari,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",271,7,104,87,73"
"091 204 Hernesaari,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",339,0,141,132,66"
"091 204 Hernesaari,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",168,34,57,46,31"
"091 204 Hernesaari,""Miehet"",""Kaikki koulutusasteet"",526,53,216,165,92"
"091 204 Hernesaari,""Miehet"",""Tutkinnon suorittaneita yhteensa"",433,40,178,133,82"
"091 204 Hernesaari,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",154,38,75,28,13"
"091 204 Hernesaari,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",114,2,43,37,32"
"091 204 Hernesaari,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",165,0,60,68,37"
"091 204 Hernesaari,""Miehet"",""Perusaste tai tuntematon"",93,13,38,32,10"
"091 204 Hernesaari,""Naiset"",""Kaikki koulutusasteet"",550,65,217,158,110"
"091 204 Hernesaari,""Naiset"",""Tutkinnon suorittaneita yhteensa"",475,44,198,144,89"
"091 204 Hernesaari,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",144,39,56,30,19"
"091 204 Hernesaari,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",157,5,61,50,41"
"091 204 Hernesaari,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",174,0,81,64,29"
"091 204 Hernesaari,""Naiset"",""Perusaste tai tuntematon"",75,21,19,14,21"
"091 520 Suomenlinna,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",514,56,172,203,83"
"091 520 Suomenlinna,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",417,14,165,182,56"
"091 520 Suomenlinna,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",153,13,52,58,30"
"091 520 Suomenlinna,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",110,1,39,55,15"
"091 520 Suomenlinna,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",154,0,74,69,11"
"091 520 Suomenlinna,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",97,42,7,21,27"
"091 520 Suomenlinna,""Miehet"",""Kaikki koulutusasteet"",240,32,73,96,39"
"091 520 Suomenlinna,""Miehet"",""Tutkinnon suorittaneita yhteensa"",189,7,71,80,31"
"091 520 Suomenlinna,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",78,7,29,24,18"
"091 520 Suomenlinna,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",46,0,14,24,8"
"091 520 Suomenlinna,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",65,0,28,32,5"
"091 520 Suomenlinna,""Miehet"",""Perusaste tai tuntematon"",51,25,2,16,8"
"091 520 Suomenlinna,""Naiset"",""Kaikki koulutusasteet"",274,24,99,107,44"
"091 520 Suomenlinna,""Naiset"",""Tutkinnon suorittaneita yhteensa"",228,7,94,102,25"
"091 520 Suomenlinna,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",75,6,23,34,12"
"091 520 Suomenlinna,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",64,1,25,31,7"
"091 520 Suomenlinna,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",89,0,46,37,6"
"091 520 Suomenlinna,""Naiset"",""Perusaste tai tuntematon"",46,17,5,5,19"
"091 531 Lansisaaret,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 531 Lansisaaret,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 531 Lansisaaret,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 531 Lansisaaret,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 531 Lansisaaret,""Molemmat sukupuolet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 531 Lansisaaret,""Molemmat sukupuolet"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 531 Lansisaaret,""Miehet"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 531 Lansisaaret,""Miehet"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 531 Lansisaaret,""Miehet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 531 Lansisaaret,""Miehet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 531 Lansisaaret,""Miehet"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 531 Lansisaaret,""Miehet"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 531 Lansisaaret,""Naiset"",""Kaikki koulutusasteet"",..,..,..,..,.."
"091 531 Lansisaaret,""Naiset"",""Tutkinnon suorittaneita yhteensa"",..,..,..,..,.."
"091 531 Lansisaaret,""Naiset"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",..,..,..,..,.."
"091 531 Lansisaaret,""Naiset"",""5-6 Alin korkea- ja alempi korkeakouluaste"",..,..,..,..,.."
"091 531 Lansisaaret,""Naiset"",""7-8 Ylempi korkeakouluaste ja tutkijakoulutus"",..,..,..,..,.."
"091 531 Lansisaaret,""Naiset"",""Perusaste tai tuntematon"",..,..,..,..,.."
"091 103 Kampinmalmin peruspiiri,""Molemmat sukupuolet"",""Kaikki koulutusasteet"",38430,5611,16964,9384,6471"
"091 103 Kampinmalmin peruspiiri,""Molemmat sukupuolet"",""Tutkinnon suorittaneita yhteensa"",32339,3904,14667,8403,5365"
"091 103 Kampinmalmin peruspiiri,""Molemmat sukupuolet"",""3-4 Toinen aste ja erikoisammattikoulutusaste"",11036,3194,4297,2299,1246"
"091 103 Kampinmalmin peruspiiri,""Molemmat sukupuolet"",""5-6 Alin korkea- ja alempi korkeakouluaste"",9298,666,4317,2364,1951"
